File,Time,TrainMSE,TrainRMSE,TrainR2,TrainMAPE,ValidationMSE,ValidationRMSE,ValidationR2,ValidationMAPE,TestMSE,TestRMSE,TestR2,TestMAPE
Cedrus deodara,1914.1665518283844,42.29038457975723,6.503105764152789,0.8258321556230825,23.71783833419315,8.040954021872675,2.835657599547709,0.9026187208086631,22.723354062919192,10.262031662931753,3.203440597690513,0.9009328797738453,22.805277957218088
Juniperus turkestanica Komar.,1661.3576486110687,42.2117488655462,6.497056938764366,0.8261560073206083,23.71535936529131,8.432358498027181,2.903852354722461,0.9085059280370296,22.940262828268267,9.026933086571674,3.0044854944851496,0.8966373979214293,23.25278985292476
Abies pindrow,1446.9696354866028,42.25470591974389,6.500361983747051,0.8259790938778779,23.737444841184104,8.57329693482617,2.928019285255165,0.9065683099668386,23.415062238263296,9.603602651235807,3.0989679977753575,0.899753793746618,23.399276759263827
Abies spectabilis,414.74484038352966,42.407255078251524,6.512085309503518,0.8253508385814836,23.79220211775388,12.609607018252351,3.55100084740237,0.9035027802839625,22.8590950584842,12.559550916448043,3.543945670640006,0.8913341173054345,23.21141250976686
Pinus roxburghii,1528.893351316452,42.21178177593609,6.497059471479085,0.8261558717831399,23.68863422764013,8.766457194735322,2.960820358403279,0.9109249868591265,22.70305692295184,8.435003749983087,2.9043077918814126,0.9045434280541165,22.7167804363034
Tsuga dumosa,1749.848644733429,42.231652472741985,6.49858849849273,0.8260740367167686,23.744355630692187,9.019780467035526,3.003294935073065,0.9108247100898965,22.760838821245695,9.003811958000817,3.0006352590744543,0.9052490535884409,22.817287232896046
Betula utilis,2013.8842577934265,42.287146133103356,6.502856767075787,0.825845492774741,23.765665284892705,8.616235398901788,2.9353424670558947,0.9105394370284222,22.75484423791732,8.878396716533857,2.979663859654954,0.9039372230303873,22.83048566198789
Juniperus spp. ,1523.8605885505676,42.20880136413375,6.496830101221191,0.8261681462494075,23.719191112999834,0.912600203269958,0.9553011060759629,0.8948461572947877,23.033884300169518,0.9916867126772272,0.99583468139909,0.9047832912617961,22.60643104121175
Pinus gerardiana,1588.8064422607422,42.199582710561565,6.496120589287237,0.8262061121614388,23.700810835680866,8.425280375969365,2.902633351970132,0.9098254960232736,22.7846697203626,8.573003529524813,2.9279691817921876,0.8934009181086209,23.1331656794548
Picea smithiana,1529.8415367603302,42.31471857920547,6.504976447244484,0.8257319389835063,23.77178624058607,8.86916054821204,2.9781135888699812,0.9050451778547682,23.091756346533682,10.313693519476844,3.211493970020315,0.9000310030107009,23.016324201582258
Juniperus spp. L.,1290.1301155090332,42.21415875058635,6.497242395861982,0.8261460824999474,23.689012573752336,8.353157241855339,2.8901829080276804,0.9129256906410042,22.43513901689047,8.723648157439804,2.953582258451558,0.9030442714042396,22.760924482204157
Populus ciliata,1694.9832282066345,42.22093813344111,6.497764087241173,0.826118162429942,23.725076230208998,8.615155656042838,2.93515854018873,0.9105000564268857,22.720954498706732,9.38471496653287,3.0634482150891453,0.9005915833477338,23.008192906474463
Juniperus recurva,1169.8091797828674,42.228861490265714,6.49837375735389,0.8260855310412212,23.672795384807948,8.208147895080835,2.8649865436125235,0.9111754975782809,22.824238922693016,9.22242401653159,3.0368444175709084,0.8976109243118846,23.328095003573665
Pinus wallichiana,1589.888599395752,42.21207151709201,6.497081769309358,0.8261546785191614,23.700971363140326,7.514214489441639,2.741206757879026,0.9144885895406473,22.860126674678323,9.26680526037082,3.0441427792353664,0.9021930632731283,23.122081214434264
Juniperus excelsa M.-Bieb,1155.86217212677,42.30558686242901,6.504274507001454,0.8257695468568378,23.744794812404173,8.42288402428232,2.902220533364465,0.9121747546304922,22.591071044917133,9.496852948322482,3.0816964400022404,0.9011325024335032,22.985481461653713
